ヒミングレーヴァ,無,3,波濤の双槍,敵軍師団一列にダメージ(中),ダメージ,一列,中,自軍師団全能力値アップ(１５％),全能力値,アップ,１５％,,,,,,,,,,,,,
コボルドハンター,無,1,ワイナーショット,敵軍単体にダメージ(微),ダメージ,単体,微,,,,,,,,,,,,,,,,,
マーメイド,無,2,マーメイドリサイタル,敵軍師団一列にダメージ(微),ダメージ,一列,微,フォース減少(微),フォース,減少,微,,,,,,,,,,,,,
ホークメイジ,無,2,マジックミサイル,敵軍単体にダメージ(小),ダメージ,単体,小,敵軍単体に毒化付与(１０％),毒化付与,単体,１０％,,,,,,,,,,,,,
カウガール,無,2,ガンブレイズバースト,敵軍単体にダメージ(小),ダメージ,単体,小,敵軍師団速度値ダウン(１５％),速度値,ダウン,１５％,,,,,,,,,,,,,
ホルス,無,1,ホルスブレード,敵軍単体にダメージ(微),ダメージ,単体,微,,,,,,,,,,,,,,,,,
ウィズ,無,2,波濤の嵐弓,敵軍全体にダメージ(微),ダメージ,全体,微,敵軍師団防御値ダウン(２０％),防御値,ダウン,２０％,,,,,,,,,,,,,
サハギン,無,1,ウォーターガン,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍師団速度値ダウン(５％),速度値,ダウン,５％,,,,,,,,,,,,,
カアス,無,1,コブラショット,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍単体に毒化付与(５％),毒化付与,単体,５％,,,,,,,,,,,,,
カアスマドモアゼル,無,2,毒蛇の輪舞曲,敵軍単体にダメージ(小),ダメージ,単体,小,敵軍単体に毒化付与(１０％),毒化付与,単体,１０％,,,,,,,,,,,,,
アウルゲルミル,無,3,ダークネス・ブレイズ,敵軍単体にダメージ(中),ダメージ,単体,中,,,,,,,,,,,,,,,,,
エルダーギガース,無,4,サンダー・ストーム,敵軍師団一列にダメージ(中),ダメージ,一列,中,,,,,,,,,,,,,,,,,
フロン,無,3,波濤の加護,自軍師団蘇生(小),蘇生,師団,小,バリア効果(大),バリア,,大,,,,,,,,,,,,,
オークガード,無,2,養豚流究極奥義・豚飯,自軍師団回復(微),回復,師団,微,自軍師団防御値アップ(５％),防御値,アップ,５％,,,,,,,,,,,,,
ホルスタウロス,無,3,ホルスタイン・ガード,バリア効果(小),バリア,,小,自軍師団防御値アップ(５％),防御値,アップ,５％,,,,,,,,,,,,,
トロール,無,2,トロール・インパクト,敵軍単体にダメージ(小),ダメージ,単体,小,自軍師団攻撃値アップ(５％),攻撃値,アップ,５％,,,,,,,,,,,,,
オーガ,無,3,オーガ・ブロー,敵軍単体にダメージ(中),ダメージ,単体,中,,,,,,,,,,,,,,,,,
アーマートロール,無,3,ネオ・インパクト,敵軍単体にダメージ(中),ダメージ,単体,中,自軍師団攻撃値アップ(５％),攻撃値,アップ,,,,,,,,,,,,,,
ギガースナイト,無,3,ギガントスラッシュ,敵軍単体にダメージ(中),ダメージ,単体,中,,,,,,,,,,,,,,,,,
ミルクイーン,無,3,ミルキー・シェル,バリア効果(小),バリア,,小,自軍師団防御値アップ(５％),防御値,アップ,５％,,,,,,,,,,,,,
コールガ,無,4,波濤の堅守,バリア効果(特),バリア,,特,自軍師団防御値アップ(２０％),防御値,アップ,２０％,自軍師団回復(微),回復,師団,微,,,,,,,,,
ゴブリンストライカー,無,2,マキワリ乱打,敵軍単体にダメージ(小),ダメージ,単体,小,,,,,,,,,,,,,,,,,
ガロード,無,1,ガロード・クラッシュ,敵軍単体にダメージ(微),ダメージ,単体,微,城壁破壊ダメージ(微),城壁ダメージ,,微,,,,,,,,,,,,,
グリプスフォーク,無,3,スラッシュ・ダイブ,敵軍師団一列にダメージ(小),ダメージ,一列,小,自軍師団速度値アップ(１０％),速度値,アップ,１０％,,,,,,,,,,,,,
ゴブリンキング,無,3,ゴブリン王の威光,自軍城壁拡張(小),城壁拡張,,小,敵軍師団全能力値ダウン(１０％),全能力値,ダウン,１０％,,,,,,,,,,,,,
ツインマーフォーク,無,3,ユニゾンプレッシャー,敵軍師団一列にダメージ(小),ダメージ,一列,小,敵軍師団攻撃値ダウン(５％),攻撃値,ダウン,５％,,,,,,,,,,,,,
サイクロプス,無,2,キュプロ・ハンマー,敵軍単体にダメージ(微),ダメージ,単体,微,,,,,,,,,,,,,,,,,
ギガースレイダー,無,2,ギガホーク,敵軍単体にダメージ(小),ダメージ,単体,小,敵軍師団防御値ダウン(５％),防御値,ダウン,５％,,,,,,,,,,,,,
ムスペルランダー,無,3,フレイミング・ブロー,敵軍単体にダメージ(中),ダメージ,単体,中,,,,,,,,,,,,,,,,,
アルビオン,無,5,フォールストリーム,敵軍師団一列にダメージ(中),ダメージ,一列,中,城壁破壊ダメージ(大),城壁ダメージ,,大,,,,,,,,,,,,,
ベルソル,無,5,ギガンテック・ソーン,敵軍全体にダメージ(小),ダメージ,全体,小,敵軍師団攻撃値ダウン(２０％),攻撃値,ダウン,２０％,敵軍全体に毒化付与(１０％),毒化付与,全体,１０％,,,,,,,,,
マキシマムオーガ,無,4,凶獣の連撃,敵軍単体にダメージ(大),ダメージ,単体,大,敵軍師団防御値ダウン(１０％),防御値,ダウン,１０％,,,,,,,,,,,,,
ブローゼハーダ,無,5,波濤の両断,敵軍師団一列にダメージ(特),ダメージ,一列,特,フォース減少(大),フォース,減少,大,,,,,,,,,,,,,
ゴブリンガール,無,2,スキあり,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍師団攻撃値ダウン(５％),攻撃値,ダウン,５％,,,,,,,,,,,,,
コボルドエンジニア,無,2,クイックリペアー,自軍師団回復(微),回復,師団,微,バリア効果(微),バリア,,微,,,,,,,,,,,,,
キャリアウーワン,無,1,うわ、貴方の年収低すぎ,敵軍単体にダメージ(微),ダメージ,単体,微,城壁破壊ダメージ(小),城壁ダメージ,,小,,,,,,,,,,,,,
ビルギア,無,4,波濤の奇跡,自軍師団蘇生(大),蘇生,師団,大,フォース吸収(中),フォース,吸収,中,,,,,,,,,,,,,
ヒュージバット,無,2,キュキキキキキッ,敵軍単体にダメージ(微),ダメージ,単体,微,フォース吸収(微),フォース,吸収,微,,,,,,,,,,,,,
闇アリクイ,無,2,アント・イーター,敵軍単体にダメージ(微),ダメージ,単体,微,フォース吸収(微),フォース,吸収,微,,,,,,,,,,,,,
グレイウルフ,無,1,ガウガウ,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍師団速度値ダウン(５％),速度値,ダウン,５％,,,,,,,,,,,,,
スキュラ,,2,イオ・テンタクル,敵軍師団攻撃値ダウン(５％),攻撃値,ダウン,５％,自軍師団攻撃値アップ(５％),攻撃値,アップ,５％,,,,,,,,,,,,,
マンティコア,無,3,毒炎ブレス,敵軍師団一列にダメージ(微),ダメージ,一列,微,敵軍単体に毒化付与(５％),毒化付与,単体,５％,,,,,,,,,,,,,
ラードーン,無,5,獣竜百叩き,敵軍師団にダメージ(中),ダメージ,師団,中,,,,,,,,,,,,,,,,,
ラミア,無,3,ロール・ユー,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍単体に麻痺付与,麻痺付与,単体,,,,,,,,,,,,,,
ケルベロス,無,3,トリプル・バイト,敵軍師団一列にダメージ(小),ダメージ,一列,小,城壁破壊ダメージ(小),城壁ダメージ,,小,,,,,,,,,,,,,
シグムンド,無,3,発・天狼烈爪牙,敵軍単体にダメージ(中),ダメージ,単体,中,,,,,,,,,,,,,,,,,
タイラントイール,無,4,暴食の王,敵軍単体にダメージ(大),ダメージ,単体,大,敵軍師団攻撃値ダウン(１０％),攻撃値,ダウン,１０％,,,,,,,,,,,,,
ダンタリオン,無,3,触の呼び声,敵軍師団一列にダメージ(小),ダメージ,一列,小,フォース減少(大),フォース,減少,大,,,,,,,,,,,,,
ヒルディス,無,5,禁獣の凶爪,敵軍師団一列にダメージ(大),ダメージ,一列,大,城壁破壊ダメージ(中),城壁ダメージ,,中,,,,,,,,,,,,,
コカトリス,無,1,毒尾の舞,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍単体に毒化付与(５％),毒化付与,単体,５％,,,,,,,,,,,,,
グリフォン,無,2,クチバシ・レイド,敵軍単体にダメージ(小),ダメージ,単体,小,城壁破壊ダメージ(小),城壁ダメージ,,小,,,,,,,,,,,,,
カトブレパス,無,4,邪悪の瞳,敵軍単体にダメージ(小),ダメージ,単体,小,敵軍単体に麻痺付与,麻痺付与,単体,,敵軍師団速度値ダウン(５％),速度値,ダウン,５％,,,,,,,,,
シムルグ,無,5,神鳥の加護,バリア効果(大),バリア,,大,自軍師団知力値アップ(２０％),知力値,アップ,２０％,自軍師団防御値アップ(２０％),防御値,アップ,２０％,,,,,,,,,
イビルアイ,無,3,イビル・アイ,敵軍師団一列にダメージ(微),ダメージ,一列,微,敵軍単体に麻痺付与,麻痺付与,単体,,,,,,,,,,,,,,
サタナスアイ,無,4,サタナス・アイ,敵軍師団一列にダメージ(小),ダメージ,一列,小,敵軍単体に麻痺付与,麻痺付与,単体,,,,,,,,,,,,,,
アイアンタートル,無,3,アイアン・ガード,バリア効果(小),バリア,,小,自軍師団防御値アップ(５％),防御値,アップ,５％,,,,,,,,,,,,,
スパイクビースト,,4,スパイク・カウンター,自軍城壁拡張(大),城壁拡張,,大,自軍師団攻撃値アップ(２０％),攻撃値,アップ,２０％,,,,,,,,,,,,,
スフィンクス,無,3,クイズアタック４２３,バリア効果(小),バリア,,小,自軍師団防御値アップ(５％),防御値,アップ,５％,,,,,,,,,,,,,
ジュエルビースト,無,2,ジュエル・コメット,敵軍単体にダメージ(小),ダメージ,単体,小,自軍師団防御値アップ(５％),防御値,アップ,５％,,,,,,,,,,,,,
アンフィスバエナ,無,3,デュアルベノムテイル,敵軍単体にダメージ(小),ダメージ,単体,小,敵軍単体に毒化付与(２０％),毒化付与,単体,２０％,,,,,,,,,,,,,
アンドロマリウス,無,5,触の後光,敵軍師団一列にダメージ(中),ダメージ,一列,中,敵軍師団一列に毒化付与(２０％),毒化付与,一列,２０％,,,,,,,,,,,,,
ベヒモス,無,5,神獣防壁,自軍城壁拡張(大),城壁拡張,,大,敵軍単体にダメージ(大),ダメージ,単体,大,自軍師団防御値アップ(１０％),防御値,アップ,１０％,,,,,,,,,
デスフロッグ,無,1,毒ゲコーン,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍単体に毒化付与(５％),毒化付与,単体,５％,,,,,,,,,,,,,
アラクネ,無,3,蜘蛛糸縛り,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍単体に麻痺付与,麻痺付与,単体,,敵軍師団速度値ダウン(５％),速度値,ダウン,５％,,,,,,,,,
ブリザードベア,無,1,ベアナックル,敵軍単体にダメージ(微),ダメージ,単体,微,城壁破壊ダメージ(微),城壁ダメージ,,微,,,,,,,,,,,,,
バジリスク,無,3,ポイズンブレス,敵軍師団一列にダメージ(微),ダメージ,一列,微,敵軍師団一列に毒化付与(１０％),毒化付与,一列,１０％,,,,,,,,,,,,,
イエティ,無,3,イエティ・パンチ,敵軍単体にダメージ(中),ダメージ,単体,中,,,,,,,,,,,,,,,,,
クラーケン,,3,侵略,敵軍単体に毒化付与(１５％),毒化付与,単体,１５％,敵軍師団攻撃値ダウン(１５％),攻撃値,ダウン,１５％,,,,,,,,,,,,,
テラーベア,無,3,ブラッドクロー,敵軍単体にダメージ(中),ダメージ,単体,中,敵軍師団防御値ダウン(５％),防御値,ダウン,５％,,,,,,,,,,,,,
グラシャラボラス,,4,蝕の咆哮,敵軍全体に毒化付与(２０％),毒化付与,全体,２０％,,,,,,,,,,,,,,,,,
ジズ,無,5,灰燼滅流波,敵軍師団にダメージ(中),ダメージ,師団,中,,,,,,,,,,,,,,,,,
怪樹マヤ,無,3,怪樹テンタクルス,敵軍師団一列に毒化付与(１５％),毒化付与,一列,１５％,自軍城壁拡張(小),城壁拡張,,小,,,,,,,,,,,,,
蛇神カドゥルー,無,5,カースブラッドギアス,敵軍師団一列にダメージ(中),ダメージ,一列,中,敵軍師団一列に毒化付与(２０％),毒化付与,一列,２０％,敵軍師団防御値ダウン(１５％),防御値,ダウン,１５％,,,,,,,,,
レモラ,無,1,水精の戯れ,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍師団速度値ダウン(５％),速度値,ダウン,５％,,,,,,,,,,,,,
ホビットスカウト,無,1,バックスタッブ,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍師団防御値ダウン(５％),防御値,ダウン,５％,,,,,,,,,,,,,
エルフ剣士,無,1,対オーク殲滅斬,敵軍単体にダメージ(微),ダメージ,単体,微,自軍師団知力値アップ(１０％),知力値,アップ,１０％,,,,,,,,,,,,,
ソードジーニ,無,3,剣精の演舞,敵軍師団一列にダメージ(小),ダメージ,一列,小,,,,,,,,,,,,,,,,,
ノクターンブレイド,無,2,ガンズアンドブレード,敵軍単体にダメージ(小),ダメージ,単体,小,敵軍師団防御値ダウン(５％),防御値,ダウン,５％,,,,,,,,,,,,,
ジーンブレイズ,無,3,剣精の炎舞,敵軍師団一列にダメージ(小),ダメージ,一列,小,自軍師団速度値アップ(１０％),速度値,アップ,１０％,,,,,,,,,,,,,
バンブーチャイルド,無,1,タケノコ掘るゾ,城壁破壊ダメージ(微),城壁ダメージ,,微,敵軍単体にダメージ(微),ダメージ,単体,微,,,,,,,,,,,,,
ケンタウルス,無,2,ケンタウリ・スピア,敵軍単体にダメージ(小),ダメージ,単体,小,敵軍師団速度値ダウン(５％),速度値,ダウン,５％,,,,,,,,,,,,,
ルークセントール,無,3,ケンタウリ・ランス,敵軍単体にダメージ(中),ダメージ,単体,中,敵軍師団速度値ダウン(１０％),速度値,ダウン,１０％,,,,,,,,,,,,,
ドラセナリア,,3,ドラッグ・ドラセナ,フォース増加(中),フォース,増加,中,自軍師団攻撃値アップ(１０％),攻撃値,アップ,１０％,,,,,,,,,,,,,
クイーンドラセナリア,,4,覚醒・ドラセナリア,フォース増加(中),フォース,増加,中,自軍師団攻撃値アップ(２０％),攻撃値,アップ,２０％,自軍師団速度値アップ(１０％),速度値,アップ,１０％,,,,,,,,,
フェアリー,,2,イタズラしちゃうぞ,敵軍師団知力値ダウン(１５％),知力値,ダウン,１５％,敵軍師団速度値ダウン(１５％),速度値,ダウン,１５％,,,,,,,,,,,,,
リトルウィスパー,,1,ささやき戦術,フォース減少(微),フォース,減少,微,敵軍師団攻撃値ダウン(１０％),攻撃値,ダウン,１０％,,,,,,,,,,,,,
ホビットハンター,無,1,ポイズンショット,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍単体に毒化付与(５％),毒化付与,単体,５％,,,,,,,,,,,,,
シルフィード,無,3,西風のプレリュード,自軍師団回復(小),回復,師団,小,自軍師団防御値アップ(５％),防御値,アップ,５％,,,,,,,,,,,,,
ユニコーンスナイパー,無,2,聖女の一矢,敵軍単体にダメージ(小),ダメージ,単体,小,フォース減少(小),フォース,減少,小,,,,,,,,,,,,,
氷の女王,無,3,セブンスソード,敵軍師団一列にダメージ(小),ダメージ,一列,小,敵軍師団知力値ダウン(１０％),知力値,ダウン,１０％,,,,,,,,,,,,,
マタンゴレディ,無,1,マタンゴ・スポア,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍単体に毒化付与(５％),毒化付与,単体,５％,,,,,,,,,,,,,
ユニコロン,無,2,霊薬ホーン,自軍師団回復(微),回復,師団,微,バリア効果(微),バリア,,微,,,,,,,,,,,,,
サテュロス,,1,騒霊の演奏会,フォース減少(微),フォース,減少,微,敵軍師団防御値ダウン(１０％),防御値,ダウン,１０％,,,,,,,,,,,,,
スノウエルフ,無,3,アイスウォール,敵軍師団一列にダメージ(微),ダメージ,一列,微,自軍城壁拡張(小),城壁拡張,,小,,,,,,,,,,,,,
スネグラチカ,無,3,氷精の応援氷壁,自軍城壁拡張(小),城壁拡張,,小,自軍師団全能力値アップ(１０％),全能力値,アップ,１０％,,,,,,,,,,,,,
プーカ,無,5,運命のカンパネルラ,自軍師団蘇生(中),蘇生,師団,中,フォース増加(中),フォース,増加,中,,,,,,,,,,,,,
ラナンシー,無,4,癒やしのお花畑,フォース増加(中),フォース,増加,中,自軍師団回復(小),回復,師団,小,,,,,,,,,,,,,
ドライアド,無,3,樹霊のしずく,自軍師団回復(小),回復,師団,小,バリア効果(小),バリア,,小,,,,,,,,,,,,,
ドワーフガード,無,3,老練の盾,バリア効果(小),バリア,,小,自軍師団防御値アップ(１０％),防御値,アップ,１０％,,,,,,,,,,,,,
アイスエント,無,3,樹氷シールド,バリア効果(小),バリア,,小,自軍師団防御値アップ(５％),防御値,アップ,５％,,,,,,,,,,,,,
カルキノス,無,2,カブトガニシールド,自軍城壁拡張(中),城壁拡張,,中,自軍師団防御値アップ(２０％),防御値,アップ,２０％,,,,,,,,,,,,,
ルサールカ,無,3,水霊の誘い,敵軍単体にダメージ(小),ダメージ,単体,小,フォース吸収(小),フォース,吸収,小,,,,,,,,,,,,,
ドワーフファイター,無,2,ヘヴィスイング,敵軍単体にダメージ(小),ダメージ,単体,小,城壁破壊ダメージ(小),城壁ダメージ,,小,,,,,,,,,,,,,
ノクターンスカラー,無,5,エネルゲイア・カノン,敵軍師団にダメージ(小),ダメージ,師団,小,,,,,,,,,,,,,,,,,
ドワーフキング,無,4,キングブレイブ,敵軍師団一列にダメージ(小),ダメージ,一列,小,自軍師団全能力値アップ(１０％),全能力値,アップ,１０％,,,,,,,,,,,,,
マッドスカラーＳ,無,5,グランドクロス砲,敵軍師団にダメージ(小),ダメージ,師団,小,敵軍師団全能力値ダウン(５％),全能力値,ダウン,５％,,,,,,,,,,,,,
ベビーアルラウネ,無,2,幼艶の草ダンス,自軍師団回復(小),回復,師団,小,自軍師団知力値アップ(５％),知力値,アップ,５％,,,,,,,,,,,,,
マンドラゴラ,,2,ぶっこぬきシャウト,敵軍単体に毒化付与(５％),毒化付与,単体,５％,敵軍師団防御値ダウン(５％),防御値,ダウン,５％,,,,,,,,,,,,,
アルラウネ,無,3,魅惑の草ダンス,自軍師団回復(小),回復,師団,小,自軍師団知力値アップ(１０％),知力値,アップ,１０％,,,,,,,,,,,,,
シャーマンエルフ,無,3,対オーク炸裂術,敵軍師団一列にダメージ(小),ダメージ,一列,小,自軍師団知力値アップ(１５％),知力値,アップ,１５％,,,,,,,,,,,,,
ファンガスコック,無,3,マッシュ・パスタ,自軍師団の状態異常を回復,状態異常回復,,,自軍師団に１ターン絶対治療付与,絶対治療付与,,,自軍師団回復(小),回復,師団,小,,,,,,,,,
ティターニア,無,5,妖精女王の加護,バリア効果(大),バリア,,大,自軍師団攻撃値アップ(１０％),攻撃値,アップ,１０％,,,,,,,,,,,,,
ポンポコ忍者,無,2,空蝉の術・弐,バリア効果(微),バリア,,微,自軍師団防御値アップ(５％),防御値,アップ,５％,,,,,,,,,,,,,
般若武者,無,2,抜刀術・閃雷,敵軍単体にダメージ(小),ダメージ,単体,小,敵軍師団速度値ダウン(１５％),速度値,ダウン,１５％,,,,,,,,,,,,,
牛鬼,無,3,牛胆流・無双牛参り,敵軍師団一列にダメージ(微),ダメージ,一列,微,敵軍師団一列に毒化付与(１０％),毒化付与,一列,１０％,,,,,,,,,,,,,
はやて,無,3,Ｋ・Ｓ・Ａ,敵軍師団一列にダメージ(小),ダメージ,一列,小,,,,,,,,,,,,,,,,,
酒呑童子,無,4,酒呑棍棒真空撃,敵軍師団一列にダメージ(中),ダメージ,一列,中,城壁破壊ダメージ(中),城壁ダメージ,,中,,,,,,,,,,,,,
火車,無,3,地獄ラーメン一丁,自軍師団回復(小),回復,師団,小,自軍師団速度値アップ(１５％),速度値,アップ,１５％,,,,,,,,,,,,,
竜宮の姫,無,4,開けてビックリ玉手箱,フォース減少(大),フォース,減少,大,敵軍師団攻撃値ダウン(２０％),攻撃値,ダウン,２０％,敵軍師団防御値ダウン(２０％),防御値,ダウン,２０％,,,,,,,,,
雪女,無,1,氷結晶,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍師団速度値ダウン(５％),速度値,ダウン,５％,,,,,,,,,,,,,
河童,無,1,河童の川流し,敵軍単体にダメージ(微),ダメージ,単体,微,,,,,,,,,,,,,,,,,
ネコマタ,無,1,招き猫パンチ,敵軍単体にダメージ(微),ダメージ,単体,微,自軍師団知力値アップ(５％),知力値,アップ,５％,,,,,,,,,,,,,
砂かけロリばばあ,無,1,砂かけキック,敵軍単体にダメージ(微),ダメージ,単体,微,城壁破壊ダメージ(微),城壁ダメージ,,微,,,,,,,,,,,,,
楓,無,2,狐火なのじゃ,敵軍単体にダメージ(小),ダメージ,単体,小,,,,,,,,,,,,,,,,,
管狐,無,2,狐火アタック,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍単体に麻痺付与,麻痺付与,単体,,,,,,,,,,,,,,
カラス天狗,,2,王手飛車角金銀桂馬取,敵軍師団速度値ダウン(１０％),速度値,ダウン,１０％,敵軍師団知力値ダウン(１０％),知力値,ダウン,１０％,敵軍師団攻撃値ダウン(５％),攻撃値,ダウン,５％,,,,,,,,,
三霊狐,無,4,管狐三連星,敵軍師団一列にダメージ(微),ダメージ,一列,微,敵軍単体に麻痺付与,麻痺付与,単体,,,,,,,,,,,,,,
金霊,無,3,大判小判の舞,自軍師団回復(小),回復,師団,小,バリア効果(小),バリア,,小,,,,,,,,,,,,,
文車妖妃,無,3,恋文無双,自軍師団蘇生(微),蘇生,師団,微,敵軍師団知力値ダウン(１０％),知力値,ダウン,１０％,,,,,,,,,,,,,
ルナ,,3,二尾ビンタ,敵軍単体に毒化付与(１０％),毒化付与,単体,１０％,敵軍師団全能力値ダウン(１０％),全能力値,ダウン,１０％,,,,,,,,,,,,,
ゆきだるま,無,2,ブリザード・クライ,敵軍師団一列にダメージ(微),ダメージ,一列,微,フォース減少(小),フォース,減少,小,,,,,,,,,,,,,
天邪鬼,無,4,天地裏返しの術,敵軍師団にダメージ(微),ダメージ,師団,微,,,,,,,,,,,,,,,,,
大鬼,無,3,鬼の腕,敵軍単体にダメージ(中),ダメージ,単体,中,,,,,,,,,,,,,,,,,
馬頭,無,3,捕縛術・地獄袈裟斬り,敵軍師団一列にダメージ(小),ダメージ,一列,小,,,,,,,,,,,,,,,,,
阿修羅,無,4,バスターオブアスラ,敵軍単体にダメージ(大),ダメージ,単体,大,城壁破壊ダメージ(中),城壁ダメージ,,中,,,,,,,,,,,,,
鬼娘,無,3,鬼娘に金棒,敵軍単体にダメージ(中),ダメージ,単体,中,,,,,,,,,,,,,,,,,
牛頭,無,4,捕縛術・滅多矢鱈撃ち,敵軍師団一列にダメージ(中),ダメージ,一列,中,,,,,,,,,,,,,,,,,
ヤマタノオロチ,無,5,龍王裂波,敵軍師団にダメージ(中),ダメージ,師団,中,,,,,,,,,,,,,,,,,
神威大蛇,無,5,神威蛇龍破,敵軍師団にダメージ(中),ダメージ,師団,中,フォース減少(中),フォース,減少,中,,,,,,,,,,,,,
キツネ巫女,無,3,困った時の巫女頼み,自軍師団蘇生(微),蘇生,師団,微,バリア効果(微),バリア,,微,,,,,,,,,,,,,
はまぐり女房,無,2,極旨すまし汁,自軍師団回復(微),回復,師団,微,バリア効果(微),バリア,,微,,,,,,,,,,,,,
妖狐,無,4,狐流符術陣,自軍師団回復(小),回復,師団,小,敵軍師団一列にダメージ(小),ダメージ,一列,小,,,,,,,,,,,,,
インプ,無,1,イタズラ・クライム,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍師団速度値ダウン(５％),速度値,ダウン,５％,,,,,,,,,,,,,
ゴーゴン,無,3,石化にらみ,敵軍単体にダメージ(微),ダメージ,単体,微,敵軍単体に麻痺付与,麻痺付与,単体,,,,,,,,,,,,,,
デーモンレイダー,無,2,食撃のトーフ,敵軍単体にダメージ(微),ダメージ,単体,微,自軍師団回復(微),回復,師団,微,,,,,,,,,,,,,
デーモンエグゼクター,無,4,ジャッジメント,敵軍単体にダメージ(大),ダメージ,単体,大,,,,,,,,,,,,,,,,,
ルキフェル,無,5,闇の明星,バリア効果(大),バリア,,大,自軍師団全能力値アップ(１０％),全能力値,アップ,１０％,,,,,,,,,,,,,
デビルファーマー,無,1,農奴の逆襲,敵軍単体にダメージ(微),ダメージ,単体,微,,,,,,,,,,,,,,,,,
デビル,無,2,ライフスティール,敵軍単体にダメージ(微),ダメージ,単体,微,自軍師団回復(微),回復,師団,微,,,,,,,,,,,,,
アスタルテ,無,3,ライトニング・レイ,敵軍師団一列にダメージ(小),ダメージ,一列,小,,,,,,,,,,,,,,,,,
ベレト,無,5,魔槍三叉戟,敵軍師団一列にダメージ(大),ダメージ,一列,大,城壁破壊ダメージ(中),城壁ダメージ,,中,,,,,,,,,,,,,
メフィストフェレス,,3,メフィストの嘘,フォース減少(中),フォース,減少,中,敵軍師団全能力値ダウン(１５％),全能力値,ダウン,１５％,,,,,,,,,,,,,
レプラコーン,無,1,ゴールデビル・ハンマー,敵軍単体にダメージ(微),ダメージ,単体,微,,,,,,,,,,,,,,,,,
プロケル,,4,論理の唄,自軍師団全能力値アップ(１５％),全能力値,アップ,１５％,フォース増加(大),フォース,増加,大,,,,,,,,,,,,,
